1INCH/BUSD;ETH
1INCH/USD;ETH
AAVE/BTC;ETH
AAVE/BUSD;ETH
AAVE/ETH;ETH
AAVE/USD;ETH
ACA/BUSD;ACALA
ACA/USD;ACALA
ACH/BUSD;ETH
ACH/USD;ETH
ADA/AUD;ADA
ADA/BTC;ADA
ADA/BUSD;ADA
ADA/ETH;ADA
ADA/EUR;ADA
ADA/GBP;ADA
ADA/USD;ADA
ADA/USDC;ADA
ADA/USDT;ADA
ADX/BUSD;ETH
ADX/USD;ETH
AGLD/BUSD;ETH
AGLD/USD;ETH
ALCX/BUSD;ETH
ALCX/USD;ETH
ALGO/BTC;ALGO 14
ALGO/BUSD;ALGO 14
ALGO/ETH;ALGO 14
ALGO/USD;ALGO 14
ALGO/USDC;ALGO 14
ALGO/USDT;ALGO 14
ALICE/BUSD;ETH
ALICE/USD;ETH
ALPHA/BUSD;ETH
ALPHA/USD;ETH
ANKR/BTC;ETH
ANKR/BUSD;ETH
ANKR/USD;ETH
ANKR/USDC;ETH
ANT/BTC;ETH
ANT/BUSD;ETH
ANT/USD;ETH
APE/BUSD;ETH
APE/EUR;ETH
APE/USD;ETH
APE/USDT;ETH
API3/BUSD;ETH
API3/USD;ETH
APT/BUSD;APT 5
APT/EUR;APT 5
APT/USD;APT 5
ARPA/BUSD;ETH
ARPA/USD;ETH
ASTR/BUSD;ASTR 2
ASTR/USD;ASTR 2
ATOM/BTC;COSMOS
ATOM/BUSD;COSMOS
ATOM/ETH;COSMOS
ATOM/EUR;COSMOS
ATOM/USD;COSMOS
ATOM/USDC;COSMOS
ATOM/USDT;COSMOS
AUD/BUSD;FIAT
AUD/USD;FIAT
AUD/USDC;FIAT
AUDIO/BUSD;ETH
AUDIO/USD;ETH
AVAX/BUSD;AVAX 1
AVAX/EUR;AVAX 1
AVAX/USD;AVAX 1
AVAX/USDT;AVAX 1
AXS/BUSD;ETH
AXS/USD;ETH
BADGER/BUSD;ETH
BADGER/USD;ETH
BAL/BTC;ETH
BAL/BUSD;ETH
BAL/USD;ETH
BAND/BUSD;ETH
BAND/USD;ETH
BAT/BTC;ETH
BAT/BUSD;ETH
BAT/ETH;ETH
BAT/USD;ETH
BAT/USDC;ETH
BCH/BTC;BITC 150
BCH/BUSD;BITC 150
BCH/EUR;BITC 150
BCH/USD;BITC 150
BCH/USDC;BITC 150
BCH/USDT;BITC 150
BICO/BUSD;ETH
BICO/USD;ETH
BLZ/BUSD;ETH
BLZ/USD;ETH
BNT/BTC;ETH
BNT/BUSD;ETH
BNT/USD;ETH
BOND/BUSD;ETH
BOND/USD;ETH
BTC/AUD;BTC 40
BTC/BUSD;BTC 41
BTC/DAI;BTC 42
BTC/EUR;BTC 43
BTC/GBP;BTC 44
BTC/USDC;BTC 45
BTC/USDT;BTC 46
BTT/BUSD;TRC - 2
BTT/EUR;TRC - 2
BTT/USD;TRC - 2
BTT/USDC;TRC - 2
C98/BUSD;ETH
C98/USD;ETH
CELR/BUSD;ETH
CELR/USD;ETH
CHR/BUSD;ETH
CHR/USD;ETH
CHZ/BUSD;ETH
CHZ/EUR;ETH
CHZ/USD;ETH
COMP/BTC;ETH
COMP/BUSD;ETH
COMP/USD;ETH
COTI/BUSD;ETH
COTI/USD;ETH
CRV/BTC;ETH
CRV/BUSD;ETH
CRV/ETH;ETH
CRV/USD;ETH
CTSI/BUSD;ETH
CTSI/USD;ETH
CVC/BUSD;ETH
CVC/USD;ETH
CVX/BUSD;ETH
CVX/USD;ETH
DAI/BUSD;ETH
DAI/USD;ETH
DAI/USDT;ETH
DASH/BTC;DASH 5
DASH/BUSD;DASH 5
DASH/USD;DASH 5
DENT/BUSD;ETH
DENT/USD;ETH
DOGE/BTC;DOGE 40
DOGE/BUSD;DOGE 40
DOGE/EUR;DOGE 40
DOGE/USD;DOGE 40
DOGE/USDC;DOGE 40
DOGE/USDT;DOGE 40
DOT/AUD;DOT 1
DOT/BTC;DOT 1
DOT/BUSD;DOT 1
DOT/ETH;DOT 1
DOT/EUR;DOT 1
DOT/GBP;DOT 1
DOT/USD;DOT 1
DOT/USDT;DOT 1
DYDX/BUSD;ETH
DYDX/USD;ETH
EGLD/BUSD;EGLD 1
EGLD/EUR;EGLD 1
EGLD/USD;EGLD 1
ENJ/BTC;ETH
ENJ/BUSD;ETH
ENJ/EUR;ETH
ENJ/GBP;ETH
ENJ/USD;ETH
ENS/BUSD;ETH
ENS/USD;ETH
EOS/BTC;EOS 1
EOS/BUSD;EOS 1
EOS/ETH;EOS 1
EOS/EUR;EOS 1
EOS/USD;EOS 1
EOS/USDC;EOS 1
EOS/USDT;EOS 1
ETC/BTC;ETH
ETC/BUSD;ETH
ETC/ETH;ETH
ETC/EUR;ETH
ETC/USD;ETH
ETC/USDC;ETH
ETH/AUD;ETH
ETH/BTC;ETH
ETH/BUSD;ETH
ETH/DAI;ETH
ETH/EUR;ETH
ETH/GBP;ETH
ETH/USDC;ETH
ETH/USDT;ETH
EUR/BUSD;FIAT
EUR/USD;FIAT
FARM/BUSD;ETH
FARM/USD;ETH
FET/BUSD;FET 1
FET/USD;FET 1
FIDA/BUSD;SOL 1
FIDA/USD;SOL 1
FIL/BTC;FIL 100
FIL/BUSD;FIL 100
FIL/ETH;FIL 100
FIL/USD;FIL 100
FIS/BUSD;ETH
FIS/USD;ETH
FLOW/BTC;FLOW 1
FLOW/BUSD;FLOW 1
FLOW/USD;FLOW 1
FORTH/BUSD;ETH
FORTH/USD;ETH
FTM/BUSD;FTM 1
FTM/EUR;FTM 1
FTM/USD;FTM 1
FTM/USDC;FTM 1
FXS/BUSD;ETH
FXS/USD;ETH
GAL/BUSD;ETH
GAL/EUR;ETH
GAL/USD;ETH
GALA/BUSD;ETH
GALA/EUR;ETH
GALA/USD;ETH
GBP/BUSD;FIAT
GBP/USD;FIAT
GHST/BUSD;ETH
GHST/USD;ETH
GLMR/BUSD;GLMR 1
GLMR/USD;GLMR 1
GMT/BUSD;SOL 1
GMT/EUR;SOL 1
GMT/USD;SOL 1
GNO/BTC;ETH
GNO/BUSD;ETH
GNO/USD;ETH
GRT/BTC;ETH
GRT/BUSD;ETH
GRT/ETH;ETH
GRT/EUR;ETH
GRT/USD;ETH
GTC/BUSD;ETH
GTC/USD;ETH
HFT/BUSD;ETH
HFT/USD;ETH
ICP/BUSD;ICP 1
ICP/EUR;ICP 1
ICP/USD;ICP 1
ICX/BTC;ICX 1
ICX/BUSD;ICX 1
ICX/ETH;ICX 1
ICX/USD;ICX 1
IDEX/BUSD;ETH
IDEX/USD;ETH
IMX/BUSD;ETH
IMX/USD;ETH
INJ/BUSD;-
INJ/USD;-
JASMY/BUSD;ETH
JASMY/EUR;ETH
JASMY/USD;ETH
KAVA/BTC;KAVA 1
KAVA/BUSD;KAVA 1
KAVA/ETH;KAVA 1
KAVA/USD;KAVA 1
KEEP/BTC;ETH
KEEP/BUSD;ETH
KEEP/USD;ETH
KEY/BUSD;ETH
KEY/USD;ETH
KNC/BTC;ETH
KNC/BUSD;ETH
KNC/ETH;ETH
KNC/USD;ETH
KP3R/BUSD;ETH
KP3R/USD;ETH
KSM/AUD;KSM 1
KSM/BTC;KSM 1
KSM/BUSD;KSM 1
KSM/ETH;KSM 1
KSM/USD;KSM 1
LDO/BUSD;ETH
LDO/USD;ETH
LINK/AUD;ETH
LINK/BTC;ETH
LINK/BUSD;ETH
LINK/ETH;ETH
LINK/EUR;ETH
LINK/GBP;ETH
LINK/USD;ETH
LINK/USDC;ETH
LINK/USDT;ETH
LPT/BTC;ETH
LPT/BUSD;ETH
LPT/USD;ETH
LRC/BUSD;ETH
LRC/USD;ETH
LSK/BTC;LSK 51
LSK/BUSD;LSK 52
LSK/ETH;LSK 53
LSK/USD;LSK 54
LTC/BTC;LTC 30
LTC/BUSD;LTC 30
LTC/ETH;LTC 30
LTC/EUR;LTC 30
LTC/GBP;LTC 30
LTC/USDC;LTC 30
LTC/USDT;LTC 30
LUNA/BUSD;LUNA 1
LUNA/EUR;LUNA 1
LUNA/USD;LUNA 1
LUNC/BUSD;LUNA 1
LUNC/USD;LUNA 1
MANA/BTC;ETH
MANA/BUSD;ETH
MANA/ETH;ETH
MANA/USD;ETH
MANA/USDT;ETH
MASK/BUSD;ETH
MASK/USD;ETH
MATIC/BTC;MATIC 9
MATIC/BUSD;MATIC 9
MATIC/EUR;MATIC 9
MATIC/GBP;MATIC 9
MATIC/USD;MATIC 9
MATIC/USDT;MATIC 9
MC/BUSD;ETH
MC/USD;ETH
MINA/BTC;MINA 60
MINA/BUSD;MINA 60
MINA/USD;MINA 60
MIR/BUSD;ETH
MIR/USD;ETH
MKR/BTC;ETH
MKR/BUSD;ETH
MKR/USD;ETH
MLN/BTC;ETH
MLN/BUSD;ETH
MLN/USD;ETH
MOVR/BUSD;MOVR 1
MOVR/USD;MOVR 1
MULTI/BUSD;ETH
MULTI/USD;ETH
NANO/BTC;NANO 1
NANO/BUSD;NANO 1
NANO/ETH;NANO 1
NANO/USD;NANO 1
NEAR/BUSD;NEAR 1
NEAR/EUR;NEAR 1
NEAR/USD;NEAR 1
NMR/BUSD;ETH
NMR/USD;ETH
OCEAN/BTC;ETH
OCEAN/BUSD;ETH
OCEAN/USD;ETH
OGN/BUSD;ETH
OGN/USD;ETH
OMG/BTC;ETH
OMG/BUSD;ETH
OMG/ETH;ETH
OMG/USD;ETH
OXT/BTC;ETH
OXT/BUSD;ETH
OXT/USD;ETH
PAXG/BTC;ETH
PAXG/BUSD;ETH
PAXG/USD;ETH
PERP/BUSD;ETH
PERP/USD;ETH
PHA/BUSD;KHALA 1
PHA/USD;KHALA 1
PLA/BUSD;ETH
PLA/USD;ETH
POLS/BUSD;ETH
POLS/USD;ETH
POND/BUSD;ETH
POND/USD;ETH
POWR/BUSD;ETH
POWR/USD;ETH
QNT/BUSD;ETH
QNT/USD;ETH
QTUM/BTC;QTUM 60
QTUM/BUSD;QTUM 61
QTUM/ETH;QTUM 62
QTUM/USD;QTUM 63
RAD/BUSD;ETH
RAD/USD;ETH
RARE/BUSD;ETH
RARE/USD;ETH
RAY/BUSD;SOL 1
RAY/USD;SOL 1
REN/BTC;ETH
REN/BUSD;ETH
REN/USD;ETH
REQ/BUSD;ETH
REQ/USD;ETH
RLC/BUSD;ETH
RLC/USD;ETH
RNDR/BUSD;ETH
RNDR/USD;ETH
RUNE/BUSD;RUNE 1
RUNE/EUR;RUNE 1
RUNE/USD;RUNE 1
SAND/BTC;ETH
SAND/BUSD;ETH
SAND/USD;ETH
SC/BTC;SC 60
SC/BUSD;SC 60
SC/ETH;SC 60
SC/USD;SC 60
SCRT/BUSD;SCRT 1
SCRT/USD;SCRT 1
SHIB/BUSD;ETH
SHIB/EUR;ETH
SHIB/USD;ETH
SHIB/USDT;ETH
SNX/BTC;ETH
SNX/BUSD;ETH
SNX/ETH;ETH
SNX/USD;ETH
SOL/BTC;SOL 1
SOL/BUSD;SOL 1
SOL/EUR;SOL 1
SOL/GBP;SOL 1
SOL/USD;SOL 1
SOL/USDC;SOL 1
SOL/USDT;SOL 1
SPELL/BUSD;ETH
SPELL/USD;ETH
SRM/BTC;SOL 1
SRM/BUSD;SOL 1
SRM/USD;SOL 1
STG/BUSD;ETH
STG/USD;ETH
STORJ/BTC;ETH
STORJ/BUSD;ETH
STORJ/ETH;ETH
STORJ/USD;ETH
STX/BUSD;STX 40
STX/USD;STX 40
SUPER/BUSD;ETH
SUPER/USD;ETH
SUSHI/BTC;ETH
SUSHI/BUSD;ETH
SUSHI/USD;ETH
T/BUSD;ETH
T/USD;ETH
TLM/BUSD;ETH
TLM/USD;ETH
TRIBE/BUSD;ETH
TRIBE/USD;ETH
TRU/BUSD;ETH
TRU/USD;ETH
TRX/BTC;TRX 1
TRX/BUSD;TRX 1
TRX/ETH;TRX 1
TRX/EUR;TRX 1
TRX/USD;TRX 1
TRX/USDC;TRX 1
TVK/BUSD;ETH
TVK/USD;ETH
UMA/BUSD;ETH
UMA/USD;ETH
UNFI/BUSD;ETH
UNFI/USD;ETH
UNI/BTC;ETH
UNI/BUSD;ETH
UNI/ETH;ETH
UNI/EUR;ETH
UNI/USD;ETH
USDC/BUSD;TRC - 2
USDC/USD;TRC - 2
USDC/USDT;TRC - 2
USTC/BUSD;TRC - 2
WAVES/BTC;WAVES 10
WAVES/BUSD;WAVES 10
WAVES/ETH;WAVES 10
WAVES/EUR;WAVES 10
WAVES/USD;WAVES 10
WAVES/USDC;WAVES 10
WBTC/BTC;ETH
WBTC/BUSD;ETH
WOO/BUSD;ETH
WOO/USD;ETH
XLM/BTC;XLM 1
XLM/BUSD;XLM 1
XLM/EUR;XLM 1
XLM/USD;XLM 1
XLM/USDC;XLM 1
XMR/BTC;XMR 30
XMR/BUSD;XMR 30
XMR/USDT;XMR 30
XRP/AUD;XRP 1
XRP/BTC;XRP 1
XRP/BUSD;XRP 1
XRP/ETH;XRP 1
XRP/EUR;XRP 1
XRP/GBP;XRP 1
XRP/USDC;XRP 1
XRP/USDT;XRP 1
XTZ/BTC;XTZ 3
XTZ/BUSD;XTZ 3
XTZ/ETH;XTZ 3
XTZ/USD;XTZ 3
XTZ/USDT;XTZ 3
YFI/BTC;ETH
YFI/BUSD;ETH
YFI/EUR;ETH
YFI/USD;ETH
YGG/BUSD;ETH
YGG/USD;ETH
ZEC/BTC;ZEC 60
ZEC/BUSD;ZEC 60
ZEC/USD;ZEC 60
ZEC/USDC;ZEC 60
ZRX/BTC;ETH
ZRX/BUSD;ETH
ZRX/USD;ETH
